borrow_id,user_address,borrowing_amount,borrowing_submitted_at,borrowing_token,borrowing_collateralization_assets,borrowing_duration,borrowing_interest_rate,borrowing_status,borrowing_due_by,borrowing_total,transaction_signature
loan_ebdc1b72cd5cc8a362e36c60f723,5eCjUQqSRhVWSfDHeCxcFj27Zqep7TdZtdooUnZizo7U,0.01 SOL,2024-04-13 21:21:03.901+00,SOL,{none},5 days,10.22,Active,2024-04-29 19:12:03+00,0.011022 SOL,
loan_e045b68f273d668936d91bb95699,2nHUxjFzxFfwnbF1sdAXcpVwgUEZBw6uFDBUu2dNYwbG,0.01 JTO,2024-05-01 08:08:56.09+00,JTO,"[{""image_uri"":""https://arweave.net/M8ma80rt9981Ld4WVkza7NXLtUxuMcWXXwhMqxOqbU0?ext=gif"",""name"":""Idling"",""external_url"":""https://drip.haus/showcase"",""mint"":""FzwSKPXbJrUB65ot4wTQNX7EAF8mcPCfvif3Em2WNwN2"",""floorprice"":1.5},{""image_uri"":""https://arweave.net/HqiZrgRid4e535VmmWQsWgsHh6i0iIMX6clecHVF9tU?ext=png"",""name"":""Simple Kei"",""external_url"":""https://drip.haus/hyblinxx"",""mint"":""D3W52fz7UTwCHsSNnKaTFhBbcvGYPZX52QNf8H4WZCDT"",""floorprice"":4.5}]",15 days,10.22,Active,2024-05-16 08:08:55.22+00,0.011022 JTO,
loan_7ba5aee140c54ed67b6fdbb5aa9d,2nHUxjFzxFfwnbF1sdAXcpVwgUEZBw6uFDBUu2dNYwbG,0.000001 tBTC,2024-05-01 08:34:29.171+00,tBTC,"[{""image_uri"":""https://arweave.net/tr1cb02uQKzeHHyfXs7X5KGlkWpUv6w54lYpOul18vk?ext=png"",""name"":""Simple Neverland"",""external_url"":""https://drip.haus/hyblinxx"",""mint"":""6ckTcG95tzY1Z9gvZ53bLQvvSkd6E1Wea8Lv5pPGuXp"",""floorprice"":4.5}]",15 days,10.22,Active,2024-05-16 08:34:26.684+00,0.0000011022 tBTC,
loan_0137fd3ae34a0b6e4f9a442dc3d0,2nHUxjFzxFfwnbF1sdAXcpVwgUEZBw6uFDBUu2dNYwbG,0.0011 SOL,2024-05-04 09:22:50.226+00,SOL,"[{""image_uri"":""https://arweave.net/KwGLjVudu_tHApjRH9EbYsBIeizBxc72XSe3qfL9n9o?ext=gif"",""name"":""Whispers of Wonderland"",""external_url"":""https://drip.haus/showcase"",""mint"":""AwVxi1e8Jmc4S1iAJhXKB24sUWVQdoyxvmBHVt86YhJH"",""floorprice"":1.5}]",25 days,10.22,Repaid,2024-05-29 09:22:47.746+00,0.00121242 SOL,5rWDaLHgkokFMypLZZHSV5ykCbx372tmGhhq74M4zSd4juzRGPM6QHzXiTpQwReLxDxxjZURDn2TqoQEJ8HHt4iK
loan_bbcc60e47fda01a53ff27832e493,2nHUxjFzxFfwnbF1sdAXcpVwgUEZBw6uFDBUu2dNYwbG,0.0001 SOL,2024-05-04 11:00:17.708+00,SOL,"[{""image_uri"":""https://arweave.net/Eqw9L1LsRCmI-tCbWKgm_oBb1TVgjzH13fcO-IRyC0Q?ext=png"",""name"":""Simple Tiiiny Denise"",""external_url"":""https://drip.haus/hyblinxx"",""mint"":""HM7MgTtuNcAUfXWKSJ83fWcbmNJahYvt9rTesuhAwMcQ"",""floorprice"":4.5},{""image_uri"":""https://arweave.net/i459axfMl-CYX6RcgMCNiQkljBHhqAqem1Gy5kqmCOE?ext=jpg"",""name"":""GETAWAY - LEGENDARY"",""external_url"":""https://drip.haus/showcase"",""mint"":""JBZdaFNQ74Dx8j2TLA5JDnst14iBwhYsRReA6qAVFCBB"",""floorprice"":1.5}]",20 days,10.22,Repaid,2024-05-24 11:00:16.678+00,0.00011022000000000001 SOL,458MbP1NBV6u1TXXTUSj1uzBiwjigjbNB2ZKHYytkAZEadPgxfYwEuvTNoZbAJrBWik74WMYWcfEs9PoKALiLguS
loan_615187af26b54c56cd0c8fd58b58,2nHUxjFzxFfwnbF1sdAXcpVwgUEZBw6uFDBUu2dNYwbG,0.001 SOL,2024-05-04 11:43:30.748+00,SOL,"[{""image_uri"":""https://arweave.net/Eqw9L1LsRCmI-tCbWKgm_oBb1TVgjzH13fcO-IRyC0Q?ext=png"",""name"":""Simple Tiiiny Denise"",""external_url"":""https://drip.haus/hyblinxx"",""mint"":""HM7MgTtuNcAUfXWKSJ83fWcbmNJahYvt9rTesuhAwMcQ"",""floorprice"":4.5}]",20 days,10.22,Repaid,2024-05-24 11:43:11.13+00,0.0011022 SOL,ggf3kCBmie4v25Z6waAA9hpViMNnjZP3XqXceCBLXzBYrohbGGty6ECcWS9GRzWM3yQuSzvhVq7QdiDXUXXroxQ
